Gene	Stem_like	CMP_like	S100_GMP_like	GMP_like	Cycling_GMP_like	MDP_like	Bcell	Tcell	Ery_HBB
A1BG	7.73064646640575	7.75087389890442	7.77959647101436	8.06290860400713	7.43744398963187	7.57364269816381	7.26094134321165	0	0
A4GALT	0	0	0	0	0	0	0	0	5.0272464723955
AAR2	5.40386312124912	0	0	0	0	0	0	0	0
AARSD1	5.61703044389905	6.05153089087906	0	0	5.71584352291461	0	0	0	0
AASDHPPT	6.15157951755788	6.16811025962626	0	0	6.21395891126337	0	0	0	0
ABCB10	0	0	0	0	5.67263104370759	0	0	0	8.24781061347025
ABCB7	6.17253194824693	5.74921064884518	0	0	0	0	0	0	6.65440868268061
ABCC4	0	0	0	0	0	0	0	0	6.81821168257519
ABCC5	0	0	0	0	0	0	0	0	6.75611703381083
ABCD4	5.71362980967197	5.47726762657335	0	0	0	0	0	0	0
ABCF1	5.91361604650518	6.37503377770098	0	0	6.51679829772153	5.7925406613422	6.92214362861385	6.75189030071701	6.64029004450186
ABCF2	5.54230118115524	0	0	0	0	0	0	0	0
ABHD10	5.47237049951679	0	0	0	0	0	0	0	0
ABHD12	5.543958686619	0	0	0	5.77659094178218	0	0	0	0
ABHD13	5.63236460031415	0	0	0	0	0	0	0	0
ABHD14A	5.09012951238031	6.1083981658036	0	0	6.18984051569355	0	0	0	0
ABHD17A	6.34949670289387	6.24773536925646	6.26291809520394	0	6.37589741363732	6.77437760426077	0	8.08703119628265	6.32265920909005
ABHD17B	6.08318641247701	5.79620501174083	0	0	5.83160052825087	0	0	0	0
ABHD2	6.49446308349223	6.02819721161844	6.80209219460987	0	5.83974588108404	7.01734788610632	0	0	0
ABHD4	5.46109070940681	0	0	0	0	0	0	0	0
ABHD5	5.8227914056309	6.27797656719729	6.70816598901181	0	6.31723839064207	6.50532153452294	0	0	8.33902729134142
ABL2	5.5814455042191	0	0	0	0	0	0	0	0
ABLIM1	0	0	0	0	0	0	0	7.25747704234365	0
ABR	5.05698400608393	0	0	0	0	6.47978174461131	0	0	0
ABRAXAS1	5.74650921044886	6.06346266586851	0	0	0	0	0	0	0
ABTB1	6.12355888897455	5.75382914278214	6.21813088988087	0	0	6.86701048556007	0	0	0
ACAA2	6.78562239533718	5.8897120200017	0	0	6.40892636280238	0	0	0	0
ACAD9	0	0	0	0	5.43257829480089	0	0	0	0
ACAT2	5.14691457247511	0	0	0	6.16881544209509	0	0	0	6.15766080055286
ACBD3	5.7598599975405	6.09690536836585	6.14629747351539	0	6.19337491362426	6.10855580135019	7.11433573729764	0	0
ACD	4.98118228785586	0	0	0	5.73835418357742	0	0	0	0
ACO2	6.0450611668471	5.84863079338141	0	0	5.89365930079559	5.81528528598841	0	6.85780212328719	6.08786883079719
ACOT7	5.85919727542746	0	0	0	6.1058784114483	0	0	0	6.33158315296909
ACOT8	5.68633197768896	5.28543099888108	0	0	0	5.87211726887765	0	0	0
ACOX1	5.69115722689389	0	0	0	0	5.95920942780207	0	0	0
ACSF3	5.63629469647483	5.59926063547291	0	0	0	0	0	0	0
ACSL1	5.87213103480747	6.07292820418684	6.88122693222887	0	6.04288431173065	7.13272748960447	0	0	0
ACSL3	5.87878319485745	0	0	0	5.75900381334475	5.92294628957157	6.44066617737774	0	0
ACSL4	5.35353596108373	0	0	0	0	6.32720973137712	0	0	0
ACSM3	4.97023549634123	6.39543436941355	6.52703982746883	7.00136518631545	6.06180907485294	0	0	0	6.01251312142381
ACSS1	5.38317808389244	5.44683379256282	0	0	0	0	0	0	6.54024464479829
ACTR1A	6.51489079699645	5.7557129384294	6.13248735332318	0	5.79440381752988	6.38655821811404	0	0	0
ACTR1B	5.92800007641005	5.2342593307127	0	0	0	0	0	0	0
ACTR6	5.79999145376352	5.9440346025984	0	0	5.8618863121993	0	0	0	0
ACY3	0	0	0	0	0	7.12877614307436	0	0	0
ACYP1	5.23547858005472	0	0	0	6.34421870408682	0	0	0	0
ACYP2	6.34542344027098	5.37945668898996	0	0	0	5.58106502408803	0	0	0
ADA	7.37445740920819	6.96844349331568	0	0	6.36131399326807	5.89767461122318	0	0	0
ADA2	0	0	0	0	0	6.41761012687	0	0	0
ADAM15	6.108301123861	5.80186593418424	6.37808415265888	0	6.13086882667788	5.84234957232877	0	0	0
ADAM28	5.33431847523068	0	0	0	0	6.52276843076395	8.33173086895049	0	0
ADAM8	6.29270398623891	0	6.62239855107223	0	0	7.1546071780408	0	6.88350178086184	0
ADAMTSL4	6.33618292106337	0	0	0	0	0	0	0	0
ADAP1	0	0	0	0	0	6.20148593350108	0	0	0
ADCY7	6.25053245957973	0	0	0	0	6.87434321771713	0	0	0
ADD3	0	0	0	0	0	7.21763039567712	7.07655164824001	7.9391079213546	0
ADGRE2	7.07571697090171	6.60032240624224	6.46219593789334	0	5.51935171250647	7.19462618001659	0	0	0
ADGRG1	6.46468567110153	5.43453504692143	0	0	0	0	0	7.14619501525543	0
ADGRG3	0	5.48613967956061	0	0	0	0	0	0	0
ADIPOR1	6.76167193345495	6.47187008676032	6.55228438144754	0	6.36594875680294	6.81801558015472	0	0	9.19654501451889
ADIPOR2	0	5.52778617742752	0	0	0	0	0	0	5.90803811566021
ADK	6.69425829856442	6.24873474677804	0	0	6.48280105022388	6.20714185178561	7.58727898354667	0	7.72757801470033
AEBP2	5.46856972012256	5.6976670492291	0	0	0	0	0	0	0
AFF2	0	6.49322812829375	7.44977621753937	8.30145294756924	6.39239999375604	0	0	0	0
AFF3	5.52922713307944	0	0	0	0	0	8.94693451603649	0	0
AFTPH	5.86577835334413	5.75572772723324	6.4087184174214	0	5.75423835805706	6.60532421085255	7.61905150474537	0	0
AGA	0	0	0	0	5.54690482186905	0	0	0	0
AGO1	0	5.40254529616569	0	0	0	0	0	0	0
AGO3	6.55637480627929	6.4723517327751	6.67507390087054	6.84182784737929	6.11692455434121	6.73649270830011	0	0	0
AGO4	5.67209107048741	6.05774577608942	6.6692258116568	0	5.66520732143599	6.39106332237648	0	0	0
AGPAT3	0	0	0	0	0	0	0	0	6.97627695296772
AGPAT4	5.50829396676163	0	0	0	0	0	0	0	0
AGPAT5	5.86532184208403	6.12614833455491	0	0	6.22660563576051	0	6.39356836533231	0	6.72296130614767
AGPS	6.56977239608019	6.47988561523537	6.38709128590963	0	6.72227826791891	6.45229002284788	0	0	0
AGRN	5.80113490176503	0	0	0	0	0	0	0	0
AGTPBP1	6.4547919439604	6.85347137581496	7.44183636077191	7.47282433605799	6.78044441258041	7.44992823867539	0	7.00171553325752	0
AHCTF1	0	5.41720245921236	0	0	5.87711934828429	0	0	0	6.79023413609596
AHCY	6.46848177523735	6.75681810343034	0	0	6.73707595264849	0	0	0	6.30235592124014
AHCYL1	5.69729023884309	6.03432154081175	0	0	6.07242979473964	6.42442963724788	0	0	0
AHDC1	5.8404140964404	0	0	0	0	0	0	0	0
AHR	6.17594141243498	0	0	0	0	7.38093272609608	0	0	0
AHSP	0	0	0	0	0	0	0	0	12.2289176697603
AIDA	5.35831168592062	0	0	0	5.56144704931271	5.7026197499161	6.9848111291304	0	6.83344140522931
AIFM1	5.30441667784827	0	0	0	0	0	0	0	6.21809377552326
AIG1	6.08566570826217	7.08333167299752	7.15138348963239	7.45980099594383	7.32190809279377	6.26769511694635	0	0	6.75110216973548
AK1	0	0	0	0	0	0	0	0	7.56306621054438
AK4	5.55226982994268	5.75511355830044	0	0	5.86654440014173	0	0	0	0
AKAP8	5.43340130731302	5.67226084410761	0	0	5.60165593644302	0	6.4608480381104	0	0
AKNA	6.34087042749128	6.15891718860471	6.68152818664286	0	5.59111449549836	7.05853390268416	7.14609407941362	8.17665037661981	0
AKR1C3	6.13657348089557	5.71760808185365	0	0	0	6.54726638767534	0	0	6.25175610384858
AKT1S1	0	0	0	0	0	0	0	0	6.72204922908764
ALAD	5.42863428565369	0	0	0	0	0	0	0	8.19629823177718
ALCAM	6.90675067559402	6.99370614114143	7.30850935889008	7.09920826172639	7.30109600409574	7.46651953524115	0	0	0
ALDH2	7.42932914440622	6.58149657609673	0	0	5.42881358949085	6.67007812577823	0	0	0
ALDH3B1	5.4892886623561	5.6285137776677	0	0	0	6.6854372520722	0	0	0
ALG13	5.90783809421474	5.95669935611055	0	0	5.50329255219038	0	6.8844702502202	0	0
ALG8	0	0	0	0	5.4712997471197	0	0	0	5.59701275445441
ALKBH3	5.74070600449164	5.42363518683013	0	0	0	0	0	0	0
ALOX5	7.75169779334866	6.65866734536192	7.05099548844955	0	6.08876763775422	7.90648086837737	6.96817308135891	0	0
ALOX5AP	6.61362891218476	0	0	0	0	8.22991802760243	6.72974065035069	7.53894749170928	0
ALS2	6.06152348995828	5.50095317142965	0	0	0	0	0	0	0
AMFR	0	0	0	0	0	0	0	0	6.41465945938755
AMMECR1	0	0	0	0	0	0	0	0	7.67289595236257
AMPD2	6.32132398844894	6.00643810242472	6.41519168017452	0	5.46523638355252	6.30150498781183	0	0	5.40878721157428
AMZ2	5.22093380154714	0	0	0	0	0	0	0	0
ANAPC1	5.28119734234506	5.57680966977256	0	0	0	0	0	0	0
ANAPC13	6.56802416202128	6.66074442029444	6.47307563194741	6.79353574882318	6.52747351623431	6.66023361104467	0	0	4.75020710867771
